"length","type","comblength","height","probability"
5,"Pair",2,14,0.020729876177833874
4,"Pair",2,5,0.01203802741109332
4,"Single",1,9,0.041369093095407344
11,"StraightBomb",5,9,0.00029326243704482044
11,"StraightBomb",6,9,7.699554331678684e-05
11,"FullHouse",5,7,0.0032768397405703105
11,"Trio",3,7,0.003456873437443386
11,"StraightBomb",5,8,0.0002615583897967318
14,"StraightBomb",5,14,0.0001416905523842383
2,"Single",1,14,0.12952656135281718
9,"PairSteps",2,12,0.003554860316971956
9,"Straight",6,13,0.0036679189610466637
9,"Pair",2,11,0.014936714960624084
9,"Straight",5,13,0.006105166780034214
4,"Single",1,6,0.031755944274296954
4,"Single",1,8,0.0371770427110807
1,"Single",1,3,0.07865747600334987
2,"Single",1,1.5,0.03772825237429837
14,"StraightBomb",5,9,0.00016568486490478083
14,"StraightBomb",6,9,3.785309647637315e-05
14,"StraightBomb",5,8,0.00015596303138352654
5,"Single",1,8,0.039422888603573215
11,"Pair",2,4,0.013769747092285952
11,"Trio",3,11,0.0030503822602268196
11,"FullHouse",5,4,0.003418375665784992
11,"PairSteps",2,4,0.004525752744664662
11,"FullHouse",5,11,0.002873745425558897
11,"Trio",3,4,0.0037161672524366825
5,"Pair",2,5,0.012926250734446065
5,"Single",1,5,0.037124888473005026
10,"FullHouse",5,14,0.0016285478522162886
